General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
TWiki ;TWiki-6.0.0;41561;Peter Thoeny, TWiki community;twiki.org;Yes;GPL;Perl, JavaScript;Files, RCS;N/A;Mature;"Large enterprise; small to medium businesses";TWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;TWiki ;Linux, Windows, OS-X and other;No;Almost any webserver, typically Apache 1.3/2.0;"RCS (optional), cron/scheduler, fgrep, egrep; Plugins may have additional dependencies";TWiki ;Yes;No;No;No;No;No;Yes;"RcsLite Perl library for version control without external RCS; backend API for other storage";TWiki ;Yes;Yes;"Internal authentication; anything Apache supports such as LDAP, NIS, AD, Kerberos";Plugin;Yes;Plugin;Plugin;Plugin;Plugin;TWiki ;Yes, 33 listed;Yes;twiki.org;twiki.org;twiki.org;twiki.org;twiki.org;TWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;TWiki ;Yes;No;19 languages;Bulgarian, Czech, Danish, German, English, Spanish, Finnish, French, Italian, Japanese, Korean, Dutch, Polish, Portuguese, Russian, Swedish, Ukrainian, Chinese, Chinese Traditional;Yes;Threaded;Yes;Yes;Yes;Conflict Resolution;Full Text;Optional;Yes;TWiki ;Yes;Yes;Yes;Yes;Plugin;Yes;Plugin;Plugin;TWiki ;All;Plugin;simple + complex;No;No;Plugin;No;Yes;Plugin;Plugin;Yes;Yes;Yes;Yes;TWiki Markup Language, TWiki variables, JavaScript, extensive API;Yes;Yes;TWiki ;Plugin;Yes;Plugin;Plugin;Yes;Yes;Yes;TWiki ;Yes;No;Plugin;Yes;Plugin;Yes;TWiki ;XHTML 1.0 Transitional;Yes;Print View;Plugin;Yes;Yes;Yes;Plugin;Yes;Yes;Yes;Plugin;Plugin;TWiki ;Yes;Yes;Plugin;Plugin;Plugin;Plugin;Plugin;Contents;TWiki ;Plugin;Plugin;Plugin;Plugin;Plugin;TWiki ;WikiWord autolink;Otherweb.WikiWord;[[Spaced text]];[[WikiWord][label]];;;;;;;;;;;;http://twiki.org/ autolink;[[http://twiki.org/][label]];;;;;;;;;---+ Level 1;---++ Level 2;---+++ Level 3;---++++ Level 4;---+++++ Level 5;---++++++ Level 6;;*bold*;;;;_italic_;;;<u>underline</u>;;;;#NAME?;<verbatim>;multi line text;</verbatim>;;<strike>strikethrough</strike>;;<sup>superscript</sup>;;;;<sub>subscript</sub>;;;;%ATTACHURL%/image.png;http://any.domain/image.png;;;;;;;;;;;;| left |   center   |   right |;or HTML;or CSS;;;;<blockquote>;multi line text;</blockquote>;;;;;;* Item 1;* Item 1.1;* Item 2;;;;1. Item 1;a. Item 1.a;1. Item 2;;;;;;$ Term: Definition;;;;;;;---;;;;;;;;;;;;;;;;;;;;;
UniWakka ;0.5.2;38514;Andrea Rossato;uniwakka.sourceforge.net;Yes;GPL;PHP, SQL, JavaScript;Database;0;Beta;academic/research;UniWakka ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;UniWakka ;platform-independent;No;any server with PHP/MySQL support;mod_rewrite, xslt (for exporting MathML to latex), mb_string (optional);UniWakka ;No;Yes;No;No;No;No;No;No;UniWakka ;Yes;Yes;;No;No;No;No;No;No;UniWakka ;No;;;;;;;UniWakka ;Yes;No;No;Yes;Unlimited;Between all;Yes;;UniWakka ;Yes;;Not localized;;No;Flat;;;;Page Locking;Full Text;;;UniWakka ;Yes;Yes;Yes;Yes;No;Yes;No;;UniWakka ;None;Yes;complex;;No;No;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;UniWakka ;No;;Yes;No;No;;No;UniWakka ;Yes;Yes;Yes;No;No;No;UniWakka ;XHTML 1.1;Yes;Print CSS;;No;Yes;No;No;Yes;No;No;Yes;No;UniWakka ;Yes;No;No;No;;;;No;UniWakka ;;;;;;UniWakka ;;;;;;;;;;;;;;;;;;;;;;;;;;======Page Title======;=====Part=====;====Section====;===SubSection===;==SubSubSection==;;;**bold**;;;;//italics//;;;__underline__;;;;##monospace##;;;;;--strike--;;^^superscript^^;;;;,,subscript,,;;;;http://foo.bar/bar.jpg;"{{image url=""local.jpg""}}";"{{image url=""http://foo.bar/bar.jpg""}}";;;;;;;;;;;@@center@@;;;;;;tabs or 4 white-space sequences for differenet level of indentation;;;;;;;;tabs or 4 white-space sequences for differenet level:;- fist level;- second;- first;;;tabs or 4 white-space sequences for differenet level:;1) fist level;1) second;1) first;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UseMod ;1.0;September 12, 2003;Clifford Adams;www.usemod.com;Yes;GPL;Perl;Files;0;Mature;;UseMod ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;UseMod ;Linux, Windows, MacOS X;No;Apache, probably anything with CGI support;;UseMod ;Yes;No;No;No;No;No;No;No;UseMod ;Yes;No;;Yes;;Patch;Patch;No;No;UseMod ;Yes, 1 listed;;;;;;;UseMod ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;;UseMod ;Yes;;;;;No;;;;Conflict Detection;Full Text;;;UseMod ;Optional;Yes;Yes;Yes;Yes;Yes;No;;UseMod ;Some;No;simple;;No;No;No;No;No;No;No;No;No;No;None;;;UseMod ;No;;No;No;No;;No;UseMod ;Yes;Patch;Patch;No;No;No;UseMod ;HTML 3;Yes;No;;No;Yes;No;No;Yes;No;No;No;No;UseMod ;Optional;No;No;No;;;;No;UseMod ;;;;;;UseMod ;;;;;;;;;;;;;;;;;;;;;;;;;;= Level 1 =;== Level 2 ==;=== Level 3 ===;==== Level 4 ====;===== Level 5 =====;====== Level 6 ======;;'''bold''';;;;''italic'';;;<u>underline</u>;;;;<tt>for monospace text</tt>;;;;; N/A;;<sup>superscript</sup>;;;;<sub>subscript</sub>;;;;http://url.com/pic.gif;;;;;;;;;;;;; N/A;;;;;;: indented;;;;;;;;* Item 1;** Item 1.1;* Item 2;;;;# Item 1;## Item 1.1;# Item 2;;;;;;";Term:Definition";;;;;;;;;;;;;;;;;;;;;;;;;;;;
VQWiki ;37105;March 1st, 2009;Marcello Teodori;www.vqwiki.org;Yes;LGPL;Java;Files, DB;0;Mature;Any;VQWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;VQWiki ;Any supporting JDK 1.4+;No;Any java servlet container 2.3+ or embedded Winstone;;VQWiki ;Yes;Yes;Yes;Yes;No;No;No;Any JDBC database;VQWiki ;Yes;No;LDAP;Optional;No;No;No;No;No;VQWiki ;Yes, 1 listed;Yes;veryquickwiki.svn.sourceforge.net;issues.vqwiki.org;www.vqwiki.org;issues.vqwiki.org;-;VQWiki ;Yes;Yes;No;Yes;Unlimited;Between all;No;Yes;VQWiki ;Yes;Optional;9 languages;German, English, Spanish, French, Italian, Dutch, Norwegian, Polish, Swedish;Yes;No;No;No;Yes;Page Locking;Full Text;Yes;;VQWiki ;Yes;Yes;Yes;Yes;No;No;No;;VQWiki ;Optional;Optional;simple;No;Optional;Optional;Optional;No;Yes;No;No;No;Yes;No;Optional, multiple scripting languages with BSH plugin;Yes;Yes;VQWiki ;No;;No;Yes;No;No;No;VQWiki ;Yes;Yes;Yes;No;No;No;VQWiki ;XHTML 1.0 Transitional;Yes;Print View;;No;Yes;No;No;No;No;Yes;No;No;VQWiki ;Yes;No;No;No;No;No;Plugin;Contents;VQWiki ;No;No;No;No;No;VQWiki ;WikiLink;`Wiki link`;[[Wiki link]];;;;;;;;;;;;;http://www.something.com;mskb:12345678;c2:StartingPoints;;;;;;;;!!!headline 1!!!;!!headline 2!!;!headline 3!;;;;;'''Bold Text''';;;;''Italic Text'';;;===Underlined Text===;;;;{{{mono}}};;;;;supported starting release 3.0;;^^superscripted text^^;;;;~~subscripted text~~;;;;Attachement;;;;;;;;;;;;; n/a;;;;;; n/a;;;;;;;;* Level 1;* Level 1.1;* Level 2;;;;# Level 1;# Level 1.1;# Level 2;;;;;;supported starting release 3.0;;;;;;;----;;;;;;;;;;;;;;;;;;;;;
WackoWiki ;R5.1.0;41077;WackoWiki Team;wackowiki.sourceforge.net;Yes;BSD;PHP;Database;none;Mature;Advanced End Users, Developers, End Users/Desktop;WackoWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;WackoWiki ;OS Independent;No;run with the appserver/webserver of your choice;database;WackoWiki ;No;Yes;No;No;No;No;No;DB abstraction with PDO;WackoWiki ;Yes;Yes;LDAP (patch);No;Optional;No;Yes;Yes;No;WackoWiki ;Yes, 1 listed;Yes;wackowiki.hg.sourceforge.net;wackowiki.sourceforge.net;groups.google.com;wackowiki.sourceforge.net;wackowiki.sourceforge.net;WackoWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;WackoWiki ;No;No;13 languages;Bulgarian, Danish, German, Greek, English, Spanish, Estonian, French, Italian, Dutch, Polish, Portuguese, Russian;Yes;Flat;Yes;Yes;Yes;Page Locking;Full Text;Patch;Plugin;WackoWiki ;Optional;Yes;Yes;Yes;No;Yes;Yes;Yes;WackoWiki ;All;Plugin;simple;No;No;No;Patch;Patch;Yes;Yes;Yes;Yes;Yes;No;actions;Yes;Yes;WackoWiki ;No;Yes;Yes;Yes;Yes;Yes;Yes;WackoWiki ;Yes;Yes;Yes;Yes;No;Plugin;WackoWiki ;XHTML 1.0 Transitional;Yes;Print View;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;WackoWiki ;Yes;No;Yes;Yes;No;No;Plugin;Contents;WackoWiki ;Plugin;Plugin;Optional;Optional;No;WackoWiki ;[[InternalLink]] ;((InternalLink));[[InternalLink alternate text]];CamelCase;;;;;;;;;;;;http://wackowiki.org;[[http://wackowiki.org Wacko Wiki]];[[Wikipedia:WackoWiki]];;;;;;;;== Top Level Heading==;=== Smaller Heading==;====== Smallest Heading==;;;;;**bold**;;;;//italics//;;;__underline__;;;;##monospace##;;;;;--strikethrough--;;^^superscript^^;;;;vvsubscriptvv;;;;((image.png));file:image.png;http://url.tld/image.png;;;;;;;;;;;"{html}<div align=""right"">{html}";;"%%(wacko wrapper=""text"" wrapper_align=""center"")";content%%;;;one;two;;;;;;;*one;**One-two;*two;*three;;;1. numbered List;1. numbered List-2;2.#8 numbered List, with break;;;;;;;;;;;;;----;;;;;;;;;;;;;;;;;;;;;
Wagn ;36861;41529;Grass Commons;wagn.org;Yes;GPL;Ruby on Rails;Database;free;Mature;small to medium-sized teams;Wagn ;;;;;Yes;Optional;Yes;Wagn ;many;No;many;;Wagn ;No;Yes;Yes;;;;;;Wagn ;Yes;Yes;built-in;No;No;Yes;No;Yes;No;Wagn ;Yes, 2 listed;Yes;github.com;wagn.org;groups.google.com;wagn.org;irc.freenode.net#wagn;Wagn ;No;No;No;Yes;Unlimited;To current;Yes;Yes;Wagn ;Yes;No;Not localized;;Yes;Discussion Pages;Yes;No;No;Conflict Detection;Full Text;No;Yes;Wagn ;No;Yes;Yes;No;No;Yes;No;No;Wagn ;All;No;complex;No;No;No;No;No;Plugin;No;Optional;No;Yes;No;WQL;Yes;Plugin;Wagn ;Yes;Yes;Yes;Yes;Yes;No;Yes;Wagn ;Yes;Yes;Yes;No;No;No;Wagn ;HTML 4;Yes;Print CSS;Yes;Yes;Yes;No;No;Yes;No;No;No;No;Wagn ;Yes;Yes;Yes;Yes;No;No;No;Filenames only;Wagn ;No;No;No;Yes;Yes;Wagn ;[[page|text]];;;;;;;;;;;;;;;[[http://page.com|text]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wala Wiki ;39083;March, 2007;Brent P. Newhall, Brennen Bearnes;walawiki.org;Yes;Public Domain;Perl;Files;Free;Mature;Small groups and organizations, weblog authors, private users, and wiki-novices.;Wala Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wala Wiki ;Linux, *BSD;No;Any that supports basic CGI.;"Depends on ""diff"" for revision tracking. Atom feeds are available with XML::Atom::SimpleFeed.";Wala Wiki ;Yes;No;No;No;No;No;No;diffs;Wala Wiki ;No;No;"None; Wala does not authenticate users.";No;No;Yes;No;No;No;Wala Wiki ;No;No;walawiki.org;p1k3.com;;p1k3.com;;Wala Wiki ;No;No;Yes;Yes;Unlimited;To current;Yes;;Wala Wiki ;;No;Not localized;;No;Flat;Optional;No;No;Conflict Resolution;Not available;;;Wala Wiki ;Optional;Optional;Yes;No;No;Yes;;;Wala Wiki ;None;No;simple;No;No;No;No;No;No;No;Yes;No;No;No;;No;No;Wala Wiki ;No;;No;No;No;No;Yes;Wala Wiki ;Yes;No;No;No;No;No;Wala Wiki ;XHTML 1.0 Strict;Yes;Print CSS;;No;No;Optional;No;No;Yes;No;No;No;Wala Wiki ;No;No;No;No;No;No;No;No;Wala Wiki ;;;;;;Wala Wiki ;LinkDump, [link dump];;;;;;;;;;;;;;;[http://p1k3.com/ p1k3];;;;;;;;;;= headline =;;;;;;;'''bolded''';;;;''italicized'';;;;;;;monospaced.;;;;;;;;;;;;;;;http://p1k3.com/wheat.png - Image URL to include.;;;;;;;;;;;;;;;;;;;:Block-quoted text.;;;;;;;;* Bullet point;* Bullet point;;;;;# One;# Two;# Three;;;;;;;;;;;;;----;;;;;;;;;;;;;;;;;;;;;
Wetpaint ;does not apply;does not apply;Wetpaint.com;www.wetpaintcentral.com;does not apply;does not apply;does not apply;does not apply;"Free; Premium; Ad-free for Education";does not apply;All users;Wetpaint ;Unlimited;Unlimited;;No restrictions;Yes;Yes;No;Wetpaint ;does not apply;does not apply;does not apply;does not apply;Wetpaint ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wetpaint ;Yes;Yes;does not apply;Yes;;Yes;;Yes;No;Wetpaint ;No;does not apply;does not apply;www.wetpaintcentral.com;;www.wetpaintcentral.com;;Wetpaint ;Yes;Yes;Yes;Yes;Unlimited;Between all;;Yes;Wetpaint ;Yes;No;Not localized;;Yes;Threaded;Yes;Yes;Yes;Conflict Resolution;Full Text;does not apply;;Wetpaint ;No;Yes;Yes;Yes;No;Yes;;Yes;Wetpaint ;None;;simple + complex;No;No;No;No;Yes;No;;;No;No;;;;Yes;Wetpaint ;No;Yes;Yes;Yes;Yes;Yes;No;Wetpaint ;Yes;Yes;Yes;Yes;No;Plugin;Wetpaint ;;Yes;Print View;;Yes;Yes;;;;;No;;No;Wetpaint ;Yes;No;Yes;Yes;No;No;No;Keywords;Wetpaint ;Plugin;Yes;Yes;;;Wetpaint ;WYSIWYG linking;Wetpaint auto suggests internal pages to link.;;;;;;;;;;;;;;WYSIWYG external linking;;;;;;;;;;WYSIWYG;;;;;;;WYSIWYG;;;;WYSIWYG;;;WYSIWYG;;;;;;;;;;;;;;;;;;;WYSIWYG Upload, Alignment, and Resizing;;;;;;;;;;;;;WYSIWYG Left, Right, Center;;;;;;WYSIWYG indentation;;;;;;;;WYSIWYG Bulleted Lists;;;;;;WYSIWYG Numbered Lists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wicked ;1.0-cvs;;The Horde Project;www.horde.org;Yes;GPL 2;PHP;Database;0;Beta;;Wicked ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wicked ;Any;No;Any;Text_Wiki from PEAR;Wicked ;No;Yes;Yes;Yes;Yes;No;No;None;Wicked ;Yes;Yes;25 different backends;No;No;No;No;Yes;No;Wicked ;Yes, 1 listed;No;cvs.horde.org;bugs.horde.org;www.horde.org;www.horde.org;www.horde.org;Wicked ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;No;Wicked ;Yes;Yes;8 languages;German, English, Spanish, Finnish, Japanese, Slovenian, Ukrainian, Chinese;Yes;No;No;No;No;None;Full Text;;;Wicked ;Yes;Yes;Yes;Yes;No;Yes;Yes;;Wicked ;None;No;simple + complex;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;Wicked ;No;Yes;No;No;No;Yes;No;Wicked ;Yes;No;No;No;No;No;Wicked ;XHTML 1.0 Transitional;Yes;No;;Yes;No;No;No;Yes;No;Yes;No;No;Wicked ;Yes;Yes;No;No;No;No;No;No;Wicked ;;;;;;Wicked ;[a Link];[namespace:link];[link With a Title];;;;;;;;;;;;;[http://example.com];[http://example.com With a Title];;;;;;;;;+ Level 1 Heading;++ Level 2 Heading;+++ Level 3 Heading;++++ Level 4 Heading;+++++ Level 5 Heading;++++++ Level 6 Heading;;**bold**;;;;//italics//;;;@@+++ underline @@;;;;{{monospace}};;;;;@@--- strikethrough @@;;;;;;;;;;local.jpg;http://foo.bar/baz.jpg;[http://foo.bar/baz.jpg Alt text];;;;;;;;;;;;;;;;;;;;;;;;;* Bullet one;* Sub-bullet;;;;;# Numero uno;# Number two;# Sub-item;;;;;;: Item 1 : Something;: Item 2 : Something else;;;;;;----;;;;;;;;;;;;;;;;;;;;;
Wiclear ;1.0;39301;David Jobet;wiclear.free.fr;Yes;GPL2;PHP;Database;0;Mature;private users;Wiclear ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wiclear ;All;No;Apache;MySql;Wiclear ;No;Yes;No;No;No;No;No;;Wiclear ;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;No;Wiclear ;No;No;wiclear.free.fr;wiclear.free.fr;wiclear@ml.free.fr;wiclear.free.fr;;Wiclear ;Yes;Yes;Yes;Yes;Unlimited;Between all;Plugin;Yes;Wiclear ;Yes;No;7 languages;English, French, German, Russian, Slovenian, Dutch, Italian;Yes;Flat;Yes;No;No;Conflict Resolution;Full Text;;;Wiclear ;Yes;Yes;Yes;No;No;Yes;No;;Wiclear ;Optional;No;simple;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Not at the moment;No;Yes;Wiclear ;Yes;;No;Plugin;No;Yes;No;Wiclear ;Yes;No;No;No;No;No;Wiclear ;XHTML 1.0 Strict;Yes;Print View;;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Wiclear ;Yes;No;No;No;No;No;No;No;Wiclear ;;;;;;Wiclear ;[Title];;;;;;;;;;;;;;;[Title|http://url.to/];;;;;;;;;;!title1;!!title2;!!!title3;;;;;__bold__;;;;''italic'';;;;;;;the text must be preceded by 2 spaces;and it will be pre formatted;;;;;;;;;;;;;;((image|title|left|longer description|100|100));;;;;;;;;;;;;;;;;;;;;;;;;;;*item1;*item2;**item21;**item22;*item3;;#item1;##item1.1;##item1.2;#item2;#item3;;;;";def1 : the complete definition of def1";";def2 : the complete definition of def2";;;;;;;;;;;;;;;;;;;;;;;;;;;
WiGit ;0.1;39650;Remko Tronçon;el-tramo.be;Yes;GPL;PHP;other;0;Beta;Private users;WiGit ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;WiGit ;;No;;Git;WiGit ;Yes;No;No;No;No;No;No;Git repositories;WiGit ;No;No;;No;No;No;No;No;No;WiGit ;;No;git://el-tramo.be/wigit;;;;;WiGit ;No;No;Yes;Yes;Unlimited;Between all;;No;WiGit ;Yes;No;;;No;No;No;No;No;None;Not available;;;WiGit ;Yes;Yes;No;No;No;No;No;;WiGit ;Some;Yes;simple + complex;No;No;Yes;No;No;No;Yes;Yes;No;No;No;;No;No;WiGit ;No;;No;No;No;No;No;WiGit ;Yes;No;No;No;No;No;WiGit ;XHTML 1.0 Transitional;Yes;No;;Yes;No;No;Yes;No;Yes;No;No;No;WiGit ;No;No;No;No;No;No;No;No;WiGit ;;;;;;WiGit ;[InternalLink];;;;;;;;;;;;;;;"""External link"":http://externallink.com";;;;;;;;;;h1. Headline;;;;;;;*Bold*;;;;_Italics_;;;+underlined+;;;;@monospace@;;;;;-strikethrough-;;^superscript^;;;;~subscript~;;;;!image.jpg!;;;;;;;;;;;;;>Right-aligned;;;;;;;;;;;;;;* Bulleted;* List;** Sublist;;;;# Numbered;# List;## Sublist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wikepage ;2008.1;October 14, 2008;Jose Carlos Medeiros;www.wikepage.org;Yes;GPL;PHP;Files;0;Mature;Private users, small groups;Wikepage ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wikepage ;Platform Independent;No;Server Independent;n/a;Wikepage ;Yes;No;No;No;No;No;No;;Wikepage ;Yes;No;;No;;Yes;No;No;No;Wikepage ;No;No;freshmeat.net;freshmeat.net;;sourceforge.net;;Wikepage ;No;No;No;No;None;No;Yes;No;Wikepage ;Yes;;;;No;No;No;No;No;None;Full Text;Optional;;Wikepage ;Optional;Yes;Yes;;No;Yes;No;;Wikepage ;None;No;simple;;No;No;No;No;No;No;Yes;No;Yes;No;;No;Yes;Wikepage ;No;Yes;No;No;No;No;No;Wikepage ;Yes;No;No;No;No;No;Wikepage ;XHTML 1.0 Transitional;Yes;No;;Yes;Yes;No;No;Yes;No;No;No;No;Wikepage ;Yes;No;Yes;No;No;No;No;No;Wikepage ;No;No;No;No;No;Wikepage ;[Link_type];[http://externallink.com];;;;;;;;;;;;;;[http://externallink.com/|click];[http://externallink.com/|picture.gif];;;;;;;;;! Biggest;!! Smaller;!!! Smallest;;;;;**Bold**;;;;''Italic'';;;__Underline__;;;;With a space in front of the text;;;;; n/a;; n/a;;;; n/a;;;;[image.gif];[http://externalimage.com/image.gif];;;;;;;;;;;; n/a;;;;;; n/a;;;;;;;;* Bullet1;* Bullet2;;;;; n/a;;;;;;;;;;;;;;;---;;;;;;;;;;;;;;;;;;;;;
Wiki CSharp .NET ;0.4.2;40178;Pier-Luc Duchaine;wikicsharpnet.sourceforge.net;Yes;GPL V3;C# (Full), PHP (Viewer);Files;0;Pre-Alpha;Private, small and big team;Wiki CSharp .NET ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wiki CSharp .NET ;Windows;No;;;Wiki CSharp .NET ;Yes;No;No;No;No;No;No;;Wiki CSharp .NET ;No;No;;No;No;;No;No;No;Wiki CSharp .NET ;No;;;;;;;Wiki CSharp .NET ;No;No;No;No;None;No;No;No;Wiki CSharp .NET ;;;Not localized;;;;;;;;;Yes;;Wiki CSharp .NET ;No;Yes;;Yes;;Yes;;;Wiki CSharp .NET ;All;;simple;;;;;Yes;;;;;;;;;;Wiki CSharp .NET ;;Yes;;;No;;;Wiki CSharp .NET ;;;;;;;Wiki CSharp .NET ;;Yes;;;;;;;;;;;;Wiki CSharp .NET ;;;;;;;;;Wiki CSharp .NET ;;;;;;Wiki CSharp .NET ;[Internal];[[Internal][Displayed text]];;;;;;;;;;;;;;[http://...];[[http://...][Displayed text]];;;;;;;;;+Header1;++Header2;+++Header3;++++Header4;;;;*Bold*;;;;=Italic=;;;_Underline_;;;;[|Monospace formate|];;;;;-Strike-;;;;;;;;;;[$Image file$];;;;;;;;;;;;;;;;;;;;;;;;;;;-list1;--list2;;;;;#list1;##list2;;;;;;;;;;;;;;___;;;;;;;;;;;;;;;;;;;;;
Wiki on a Stick ;0.12.0;40350;legolas558;stickwiki.sourceforge.net;Yes;GPLv2;JavaScript;Files;;Mature;Advanced End Users;Wiki on a Stick ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Wiki on a Stick ;OS Independent (Browser Application);No;;JavaScript-capable browser;Wiki on a Stick ;No;No;No;No;No;No;No;Self-modifying XHTML file, can export into XHTML and WSIF;Wiki on a Stick ;Yes;No;Supports per-page AES encryption;No;No;No;No;No;No;Wiki on a Stick ;No;No;stickwiki.svn.sf.net;sourceforge.net;sourceforge.net;woas.iragan.com;irc.freenode.net;Wiki on a Stick ;No;No;No;No;None;No;Yes;Yes;Wiki on a Stick ;Yes;No;2 languages;English, Italian;No;No;Yes;Yes;No;Page Locking;Full Text;Yes;Yes;Wiki on a Stick ;No;Yes;Yes;No;No;Yes;Yes;No;Wiki on a Stick ;All;Plugin;simple + complex;Yes;No;No;No;No;No;Plugin;;Yes;Yes;No;JavaScript;Yes;No;Wiki on a Stick ;No;Yes;Optional;Yes;No;Yes;No;Wiki on a Stick ;Yes;Yes;Yes;No;No;;Wiki on a Stick ;XHTML 1.0 Transitional;Yes;Print View;;Yes;No;No;;Yes;Yes;Yes;No;No;Wiki on a Stick ;Yes;No;Yes;No;No;;No;Filenames only;Wiki on a Stick ;Plugin;Yes;No;No;No;Wiki on a Stick ;[[WoaS test page]];;;;;;;;;;;;;;;[[http://stickwiki.sf.net/|WoaS Official Website]];;;;;;;;;;= Header 1;== Header 2;=== Header 3;;;;;*bold text*;;;;/italics text/;;;_underlined text_;;;;{{{this text will not render wiki syntax}}};;;;;;;;;;;;;;;[[Image::woas.png]];;;;;;;;;;;;;;;;;;;;;;;;;;;* element 1;* element 2;* element 3;;;;* element 1;* element 2;* element 3;;;;;;;;;;;;;----;;;;;;;;;;;;;;;;;;;;;
